# kaynak veri/kopru/capraz_kontrol.npz; CSV 1/10 seyreltildi, PNG tam cozunurlukten cizildi; voltaj maks fark 0 mV
# dogrulama_capraz.png kaynak verisi
t_ms,v_hoc,v_py,fark_mV
139,-65.325,-65.325,0
139.25,-65.3221,-65.3221,0
139.5,-65.3192,-65.3192,0
139.75,-65.3163,-65.3163,0
140,-65.3134,-65.3134,0
140.25,-65.3105,-65.3105,0
140.5,-65.3076,-65.3076,0
140.75,-65.3048,-65.3048,0
141,-65.3019,-65.3019,0
141.25,-65.2991,-65.2991,0
141.5,-65.2962,-65.2962,0
141.75,-65.2934,-65.2934,0
142,-65.2906,-65.2906,0
142.25,-65.2877,-65.2877,0
142.5,-65.2849,-65.2849,0
142.75,-65.2821,-65.2821,0
143,-65.2793,-65.2793,0
143.25,-65.2765,-65.2765,0
143.5,-65.2737,-65.2737,0
143.75,-65.2709,-65.2709,0
144,-65.2682,-65.2682,0
144.25,-65.2654,-65.2654,0
144.5,-65.2626,-65.2626,0
144.75,-65.2599,-65.2599,0
145,-65.2571,-65.2571,0
145.25,-65.2544,-65.2544,0
145.5,-65.2516,-65.2516,0
145.75,-65.2489,-65.2489,0
146,-65.2462,-65.2462,0
146.25,-65.2434,-65.2434,0
146.5,-65.2407,-65.2407,0
146.75,-65.238,-65.238,0
147,-65.2353,-65.2353,0
147.25,-65.2326,-65.2326,0
147.5,-65.2299,-65.2299,0
147.75,-65.2272,-65.2272,0
148,-65.2246,-65.2246,0
148.25,-65.2219,-65.2219,0
148.5,-65.2192,-65.2192,0
148.75,-65.2165,-65.2165,0
149,-65.2139,-65.2139,0
149.25,-65.2112,-65.2112,0
149.5,-65.2086,-65.2086,0
149.75,-65.2059,-65.2059,0
150,-65.2033,-65.2033,0
150.25,-65.2007,-65.2007,0
150.5,-65.1981,-65.1981,0
150.75,-65.1954,-65.1954,0
151,-65.1928,-65.1928,0
151.25,-65.1902,-65.1902,0
151.5,-65.1876,-65.1876,0
151.75,-65.185,-65.185,0
152,-65.1824,-65.1824,0
152.25,-65.1798,-65.1798,0
152.5,-65.1772,-65.1772,0
152.75,-65.1747,-65.1747,0
153,-65.1721,-65.1721,0
153.25,-65.1695,-65.1695,0
153.5,-65.167,-65.167,0
153.75,-65.1644,-65.1644,0
154,-65.1618,-65.1618,0
154.25,-65.1593,-65.1593,0
154.5,-65.1568,-65.1568,0
154.75,-65.1542,-65.1542,0
155,-65.1517,-65.1517,0
155.25,-65.1492,-65.1492,0
155.5,-65.1466,-65.1466,0
155.75,-65.1441,-65.1441,0
156,-65.1416,-65.1416,0
